timestamp,level,outcome,duration,units_deployed,damage_to_units,damage_to_towers,resources_used
2025-05-10T12:38:11.914282,1,win,39.66,"{'Pantheon': 6, 'BrownBeard': 12, 'KarasuTengu': 14}","{'Pantheon': 785.21, 'BrownBeard': 2813.62, 'KarasuTengu': 1017.82}","{'Pantheon': 28, 'BrownBeard': 20, 'KarasuTengu': 29}","{'solar': 48, 'lunar': 52, 'eclipse': 6}"
2025-05-10T12:19:03.437481,1,win,81.59,"{'LumberJack': 5, 'BrownBeard': 13}","{'LumberJack': 283.22, 'BrownBeard': 2790.35}","{'LumberJack': 38, 'BrownBeard': 47}","{'solar': 62, 'lunar': 0, 'eclipse': 0}"
2025-05-10T12:40:43.903250,1,win,48.53,"{'LumberJack': 8, 'Pantheon': 12, 'BrownBeard': 10}","{'LumberJack': 608.11, 'Pantheon': 1259.46, 'BrownBeard': 2663.53}","{'LumberJack': 23, 'Pantheon': 26, 'BrownBeard': 24}","{'solar': 56, 'lunar': 48, 'eclipse': 12}"
2025-05-10T12:22:58.549659,1,win,60.52,"{'KarasuTengu': 15, 'Pantheon': 5, 'BrownBeard': 11, 'LumberJack': 11}","{'KarasuTengu': 1444.47, 'Pantheon': 684.9, 'BrownBeard': 2547.49, 'LumberJack': 829.63}","{'KarasuTengu': 36, 'Pantheon': 35, 'BrownBeard': 31, 'LumberJack': 25}","{'solar': 66, 'lunar': 50, 'eclipse': 5}"
2025-05-10T12:58:40.394191,1,win,54.32,"{'KarasuTengu': 10, 'Pantheon': 12, 'BrownBeard': 11, 'LumberJack': 13}","{'KarasuTengu': 958.66, 'Pantheon': 1210.39, 'BrownBeard': 2408.15, 'LumberJack': 733.55}","{'KarasuTengu': 28, 'Pantheon': 21, 'BrownBeard': 47, 'LumberJack': 37}","{'solar': 70, 'lunar': 68, 'eclipse': 12}"
2025-05-10T12:47:22.866713,1,win,23.51,"{'Pantheon': 14, 'BrownBeard': 10}","{'Pantheon': 1906.49, 'BrownBeard': 2743.43}","{'Pantheon': 50, 'BrownBeard': 19}","{'solar': 40, 'lunar': 56, 'eclipse': 14}"
2025-05-10T12:28:44.743816,1,win,55.49,"{'BrownBeard': 10, 'KarasuTengu': 8, 'LumberJack': 9, 'Pantheon': 15}","{'BrownBeard': 2298.31, 'KarasuTengu': 672.45, 'LumberJack': 514.66, 'Pantheon': 2024.96}","{'BrownBeard': 26, 'KarasuTengu': 20, 'LumberJack': 20, 'Pantheon': 15}","{'solar': 58, 'lunar': 76, 'eclipse': 15}"
2025-05-10T12:30:36.377619,1,win,45.36,"{'LumberJack': 15, 'KarasuTengu': 12}","{'LumberJack': 1032.18, 'KarasuTengu': 1020.86}","{'LumberJack': 36, 'KarasuTengu': 15}","{'solar': 30, 'lunar': 24, 'eclipse': 0}"
2025-05-10T12:24:53.632225,1,win,23.35,"{'BrownBeard': 12, 'LumberJack': 10}","{'BrownBeard': 2576.54, 'LumberJack': 527.32}","{'BrownBeard': 31, 'LumberJack': 17}","{'solar': 68, 'lunar': 0, 'eclipse': 0}"
2025-05-10T12:38:41.020480,1,win,85.48,"{'KarasuTengu': 9, 'Pantheon': 6}","{'KarasuTengu': 602.44, 'Pantheon': 607.9}","{'KarasuTengu': 33, 'Pantheon': 44}","{'solar': 0, 'lunar': 42, 'eclipse': 6}"
2025-05-10T12:58:10.869475,1,loss,25.69,"{'KarasuTengu': 8, 'BrownBeard': 9, 'LumberJack': 10, 'Pantheon': 11}","{'KarasuTengu': 507.58, 'BrownBeard': 1862.91, 'LumberJack': 636.46, 'Pantheon': 1579.58}","{'KarasuTengu': 36, 'BrownBeard': 45, 'LumberJack': 29, 'Pantheon': 30}","{'solar': 56, 'lunar': 60, 'eclipse': 11}"
2025-05-10T13:23:06.418214,1,win,20.71,"{'KarasuTengu': 5, 'LumberJack': 6}","{'KarasuTengu': 323.67, 'LumberJack': 423.16}","{'KarasuTengu': 18, 'LumberJack': 32}","{'solar': 12, 'lunar': 10, 'eclipse': 0}"
2025-05-10T13:02:33.034091,1,win,35.06,"{'BrownBeard': 8, 'LumberJack': 6, 'KarasuTengu': 10}","{'BrownBeard': 1855.66, 'LumberJack': 357.92, 'KarasuTengu': 773.26}","{'BrownBeard': 19, 'LumberJack': 13, 'KarasuTengu': 21}","{'solar': 44, 'lunar': 20, 'eclipse': 0}"
2025-05-10T12:37:55.116788,1,win,60.01,"{'KarasuTengu': 11, 'Pantheon': 6}","{'KarasuTengu': 999.24, 'Pantheon': 832.23}","{'KarasuTengu': 19, 'Pantheon': 25}","{'solar': 0, 'lunar': 46, 'eclipse': 6}"
2025-05-10T13:05:05.008678,1,win,61.67,"{'KarasuTengu': 5, 'LumberJack': 7, 'BrownBeard': 5, 'Pantheon': 12}","{'KarasuTengu': 334.31, 'LumberJack': 383.17, 'BrownBeard': 1279.4, 'Pantheon': 1775.54}","{'KarasuTengu': 17, 'LumberJack': 35, 'BrownBeard': 32, 'Pantheon': 42}","{'solar': 34, 'lunar': 58, 'eclipse': 12}"
2025-05-10T13:20:38.028198,1,win,36.75,"{'Pantheon': 8, 'LumberJack': 13, 'BrownBeard': 7, 'KarasuTengu': 10}","{'Pantheon': 944.19, 'LumberJack': 824.97, 'BrownBeard': 2038.49, 'KarasuTengu': 988.74}","{'Pantheon': 17, 'LumberJack': 36, 'BrownBeard': 33, 'KarasuTengu': 19}","{'solar': 54, 'lunar': 52, 'eclipse': 8}"
2025-05-10T13:32:00.504353,1,win,86.81,"{'KarasuTengu': 9, 'Pantheon': 8, 'LumberJack': 8}","{'KarasuTengu': 722.37, 'Pantheon': 992.85, 'LumberJack': 454.25}","{'KarasuTengu': 28, 'Pantheon': 19, 'LumberJack': 12}","{'solar': 16, 'lunar': 50, 'eclipse': 8}"
2025-05-10T13:27:58.479198,1,win,25.73,"{'BrownBeard': 6, 'KarasuTengu': 7, 'LumberJack': 15}","{'BrownBeard': 1672.33, 'KarasuTengu': 440.45, 'LumberJack': 787.7}","{'BrownBeard': 27, 'KarasuTengu': 20, 'LumberJack': 19}","{'solar': 54, 'lunar': 14, 'eclipse': 0}"
2025-05-10T13:15:48.291677,1,win,57.28,"{'Pantheon': 11, 'KarasuTengu': 10}","{'Pantheon': 1202.57, 'KarasuTengu': 817.33}","{'Pantheon': 25, 'KarasuTengu': 12}","{'solar': 0, 'lunar': 64, 'eclipse': 11}"
2025-05-10T13:01:02.370506,1,win,25.51,"{'Pantheon': 6, 'BrownBeard': 8, 'LumberJack': 11}","{'Pantheon': 781.74, 'BrownBeard': 1697.47, 'LumberJack': 579.07}","{'Pantheon': 25, 'BrownBeard': 24, 'LumberJack': 32}","{'solar': 54, 'lunar': 24, 'eclipse': 6}"
2025-05-10T12:50:20.518471,1,win,50.91,"{'LumberJack': 13, 'Pantheon': 13, 'BrownBeard': 12}","{'LumberJack': 805.47, 'Pantheon': 1444.66, 'BrownBeard': 2651.04}","{'LumberJack': 35, 'Pantheon': 41, 'BrownBeard': 50}","{'solar': 74, 'lunar': 52, 'eclipse': 13}"
2025-05-10T13:47:06.040256,1,win,38.08,"{'Pantheon': 11, 'BrownBeard': 6, 'KarasuTengu': 10, 'LumberJack': 13}","{'Pantheon': 1444.56, 'BrownBeard': 1493.91, 'KarasuTengu': 898.54, 'LumberJack': 886.84}","{'Pantheon': 25, 'BrownBeard': 34, 'KarasuTengu': 25, 'LumberJack': 27}","{'solar': 50, 'lunar': 64, 'eclipse': 11}"
2025-05-10T12:45:46.489860,1,win,47.76,"{'LumberJack': 9, 'BrownBeard': 8, 'Pantheon': 9}","{'LumberJack': 576.47, 'BrownBeard': 1815.42, 'Pantheon': 1008.17}","{'LumberJack': 35, 'BrownBeard': 24, 'Pantheon': 31}","{'solar': 50, 'lunar': 36, 'eclipse': 9}"
2025-05-10T12:42:13.612246,1,win,66.01,"{'Pantheon': 10, 'BrownBeard': 7, 'KarasuTengu': 10}","{'Pantheon': 1031.06, 'BrownBeard': 1698.33, 'KarasuTengu': 993.47}","{'Pantheon': 35, 'BrownBeard': 19, 'KarasuTengu': 13}","{'solar': 28, 'lunar': 60, 'eclipse': 10}"
2025-05-10T13:41:59.481055,1,win,84.71,"{'BrownBeard': 7, 'KarasuTengu': 5}","{'BrownBeard': 1479.16, 'KarasuTengu': 372.8}","{'BrownBeard': 41, 'KarasuTengu': 32}","{'solar': 28, 'lunar': 10, 'eclipse': 0}"
2025-05-10T12:54:40.901287,1,win,76.29,"{'Pantheon': 13, 'LumberJack': 12}","{'Pantheon': 1310.82, 'LumberJack': 649.62}","{'Pantheon': 32, 'LumberJack': 37}","{'solar': 24, 'lunar': 52, 'eclipse': 13}"
2025-05-10T12:44:25.835216,1,win,53.16,"{'BrownBeard': 8, 'KarasuTengu': 9, 'Pantheon': 9, 'LumberJack': 5}","{'BrownBeard': 1658.2, 'KarasuTengu': 862.97, 'Pantheon': 1086.35, 'LumberJack': 381.81}","{'BrownBeard': 37, 'KarasuTengu': 37, 'Pantheon': 40, 'LumberJack': 32}","{'solar': 42, 'lunar': 54, 'eclipse': 9}"
2025-05-10T13:28:29.521391,1,win,44.06,"{'Pantheon': 8, 'BrownBeard': 15, 'LumberJack': 9}","{'Pantheon': 1091.27, 'BrownBeard': 3040.2, 'LumberJack': 675.08}","{'Pantheon': 37, 'BrownBeard': 21, 'LumberJack': 19}","{'solar': 78, 'lunar': 32, 'eclipse': 8}"
2025-05-10T13:58:02.378522,1,win,65.75,"{'KarasuTengu': 13, 'LumberJack': 7, 'BrownBeard': 6}","{'KarasuTengu': 854.57, 'LumberJack': 461.6, 'BrownBeard': 1622.73}","{'KarasuTengu': 19, 'LumberJack': 40, 'BrownBeard': 36}","{'solar': 38, 'lunar': 26, 'eclipse': 0}"
2025-05-10T14:02:58.236305,1,win,25.49,"{'Pantheon': 13, 'KarasuTengu': 8, 'BrownBeard': 7}","{'Pantheon': 1318.16, 'KarasuTengu': 539.18, 'BrownBeard': 1542.11}","{'Pantheon': 32, 'KarasuTengu': 39, 'BrownBeard': 44}","{'solar': 28, 'lunar': 68, 'eclipse': 13}"
2025-05-10T13:57:59.458475,1,win,43.36,"{'KarasuTengu': 13, 'BrownBeard': 13}","{'KarasuTengu': 1001.59, 'BrownBeard': 3434.36}","{'KarasuTengu': 28, 'BrownBeard': 47}","{'solar': 52, 'lunar': 26, 'eclipse': 0}"
2025-05-10T13:16:32.351391,1,win,30.85,"{'Pantheon': 7, 'LumberJack': 5, 'BrownBeard': 5, 'KarasuTengu': 12}","{'Pantheon': 938.71, 'LumberJack': 263.4, 'BrownBeard': 1316.73, 'KarasuTengu': 1172.1}","{'Pantheon': 18, 'LumberJack': 26, 'BrownBeard': 35, 'KarasuTengu': 25}","{'solar': 30, 'lunar': 52, 'eclipse': 7}"
2025-05-10T13:01:39.621320,1,win,79.27,"{'LumberJack': 7, 'Pantheon': 14, 'KarasuTengu': 5}","{'LumberJack': 377.41, 'Pantheon': 1784.58, 'KarasuTengu': 386.28}","{'LumberJack': 30, 'Pantheon': 43, 'KarasuTengu': 31}","{'solar': 14, 'lunar': 66, 'eclipse': 14}"
2025-05-10T20:36:09.836721,1,win,44.72,{'LumberJack': 20},{'LumberJack': 1303.5},{'LumberJack': 120},"{'solar': 40, 'lunar': 0, 'eclipse': 0}"
2025-05-11T13:36:38.416137,1,loss,56.89,"{'Convert': 1, 'Wanderer': 2, 'LightMage': 2}","{'Wanderer': 200.0, 'LightMage': 200.25}","{'Convert': 5, 'BlueSlime': 60, 'GreenSlime': 40}","{'solar': 0, 'lunar': 10, 'eclipse': 0}"
2025-05-11T13:51:55.183399,1,win,24.99,"{'Countess': 19, 'VampireGirl': 5}","{'VampireGirl': 364.5, 'Countess': 100.0}","{'Countess': 90, 'VampireGirl': 20}","{'solar': 0, 'lunar': 48, 'eclipse': 0}"
2025-05-11T14:09:27.020460,1,win,84.79,"{'Pantheon': 6, 'Peasant': 6, 'FireMage': 4}","{'Peasant': 138.25, 'Pantheon': 395.25, 'FireMage': 169.25}","{'FireMage': 15, 'Peasant': 25, 'Pantheon': 60}","{'solar': 26, 'lunar': 32, 'eclipse': 6}"
2025-05-11T14:10:18.638550,1,win,11.24,"{'LumberJack': 8, 'KarasuTengu': 5, 'Peasant': 4}","{'KarasuTengu': 49.0, 'Peasant': 51.25, 'LumberJack': 100.2}","{'Peasant': 20, 'KarasuTengu': 20, 'LumberJack': 60}","{'solar': 20, 'lunar': 10, 'eclipse': 0}"
2025-05-11T14:14:01.393081,1,win,55.67,"{'YamabushiTengu': 8, 'Kitsune': 13, 'FireMage': 11}",{'YamabushiTengu': 100.8},"{'FireMage': 20, 'YamabushiTengu': 80}","{'solar': 133, 'lunar': 180, 'eclipse': 34}"
2025-05-11T14:14:09.173853,2,win,6.71,"{'LightMage': 6, 'Kitsune': 5, 'YamabushiTengu': 7}","{'LightMage': 167.25, 'YamabushiTengu': 449.1}","{'LightMage': 30, 'YamabushiTengu': 120}","{'solar': 48, 'lunar': 106, 'eclipse': 17}"
2025-05-11T14:16:46.505241,1,win,15.45,"{'Gangster3': 19, 'LightMage': 15, 'Kunoichi': 14}","{'Gangster3': 88.25, 'LightMage': 61.5, 'Kunoichi': 50.25}","{'Gangster3': 60, 'LightMage': 45, 'Kunoichi': 45}","{'solar': 144, 'lunar': 67, 'eclipse': 0}"
2025-05-11T14:17:13.108110,2,win,25.53,"{'Wanderer': 22, 'Peasant': 22, 'KarasuTengu': 25}","{'Wanderer': 843.75, 'Peasant': 822.25, 'KarasuTengu': 927.0}","{'Wanderer': 30, 'Peasant': 30, 'KarasuTengu': 40}","{'solar': 66, 'lunar': 72, 'eclipse': 0}"
2025-05-11T14:17:29.264829,3,win,14.22,"{'Pantheon': 5, 'Monk': 7, 'Countess': 8}","{'Monk': 224.25, 'Pantheon': 58.5}","{'Monk': 30, 'Pantheon': 45, 'Countess': 35}","{'solar': 37, 'lunar': 50, 'eclipse': 21}"
2025-05-11T14:17:50.065621,4,win,11.91,"{'Gangster3': 9, 'LightMage': 4, 'YamabushiTengu': 9}","{'Gangster3': 295.25, 'LightMage': 151.25, 'YamabushiTengu': 973.8}","{'LightMage': 10, 'Gangster3': 20, 'YamabushiTengu': 100}","{'solar': 39, 'lunar': 112, 'eclipse': 9}"
2025-05-11T14:18:05.735321,5,win,14.82,"{'BrownBeard': 4, 'Pantheon': 7, 'Countess': 4}","{'Countess': 34.5, 'BrownBeard': 124.5, 'Pantheon': 312.75}","{'Countess': 20, 'Pantheon': 60, 'BrownBeard': 20}","{'solar': 24, 'lunar': 36, 'eclipse': 15}"
2025-05-11T14:18:37.606909,6,win,30.91,"{'LightMage': 4, 'Gangster3': 8, 'FireMage': 19}","{'LightMage': 179.25, 'Gangster3': 137.5, 'FireMage': 789.25}","{'FireMage': 85, 'Gangster3': 30, 'LightMage': 10}","{'solar': 131, 'lunar': 58, 'eclipse': 0}"
2025-05-11T14:18:57.518053,2,win,17.83,"{'Gangster1': 16, 'Gangster2': 12, 'Gangster3': 15}","{'Gangster1': 461.75, 'Gangster2': 326.0, 'Gangster3': 431.25}","{'Gangster1': 50, 'Gangster2': 40, 'Gangster3': 45}","{'solar': 117, 'lunar': 42, 'eclipse': 0}"
2025-05-11T14:29:11.881858,1,win,8.51,"{'LumberJack': 8, 'KarasuTengu': 8, 'Convert': 8}","{'Convert': 99.0, 'KarasuTengu': 1.5}","{'KarasuTengu': 35, 'Convert': 40, 'LumberJack': 30}","{'solar': 16, 'lunar': 40, 'eclipse': 0}"
2025-05-11T14:31:12.562943,1,win,11.4,"{'KarasuTengu': 10, 'Peasant': 9, 'LumberJack': 8}","{'KarasuTengu': 68.75, 'Peasant': 100.0, 'LumberJack': 33.6}","{'KarasuTengu': 40, 'Peasant': 30, 'LumberJack': 40}","{'solar': 25, 'lunar': 20, 'eclipse': 0}"
2025-05-11T15:43:05.405844,1,win,19.25,"{'Pantheon': 11, 'Monk': 11, 'Countess': 9}",{'Monk': 50.25},"{'Monk': 55, 'Countess': 45}","{'solar': 51, 'lunar': 84, 'eclipse': 29}"
